LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,TOTAL_SNOW_FLAG,HEATING_DEGREE_DAYS,TOTAL_RAIN,TOTAL_PRECIPITATION,ID,LOCAL_DATE,COOLING_DEGREE_DAYS,MAX_REL_HUMIDITY,MAX_TEMPERATURE,MEAN_TEMPERATURE,MIN_TEMPERATURE,PARAM,Date,Value,SYM
2011,7,10,,48,,M,3.9,,0.2,3053536.2011.7.10,7/10/2011 0:00,0,95,19,14.1,9.1,1,7/10/2011,284,
2011,7,11,,42,,M,3.4,,0,3053536.2011.7.11,7/11/2011 0:00,0,97,22.4,14.6,6.8,1,7/11/2011,259,
2011,7,12,,43,,M,1.6,,0,3053536.2011.7.12,7/12/2011 0:00,0,91,22.2,16.4,10.5,1,7/12/2011,256,
2011,7,13,,38,,M,1.4,,2.1,3053536.2011.7.13,7/13/2011 0:00,0,96,22.7,16.6,10.5,1,7/13/2011,284,
2011,7,14,,33,,M,4.7,,0.3,3053536.2011.7.14,7/14/2011 0:00,0,98,19.9,13.3,6.7,1,7/14/2011,286,A
2011,7,15,,39,,M,3.7,,0.9,3053536.2011.7.15,7/15/2011 0:00,0,93,19.7,14.3,8.8,1,7/15/2011,250,
2011,7,16,,24,,M,1.7,,0,3053536.2011.7.16,7/16/2011 0:00,0,87,24.7,16.3,7.8,1,7/16/2011,222,
2011,7,17,,22,,M,1.4,,1.1,3053536.2011.7.17,7/17/2011 0:00,0,98,24.7,16.6,8.5,1,7/17/2011,227,
2011,7,18,,40,,M,2.2,,2.4,3053536.2011.7.18,7/18/2011 0:00,0,98,22.7,15.8,8.9,1,7/18/2011,252,
2011,7,19,,45,,M,4.7,,1.2,3053536.2011.7.19,7/19/2011 0:00,0,97,19.4,13.3,7.1,1,7/19/2011,290,
2011,7,20,,,,M,4,,,3053536.2011.7.20,7/20/2011 0:00,0,,20.1,14,7.8,1,7/20/2011,281,
2011,7,21,,29,,M,4.3,,1.9,3053536.2011.7.21,7/21/2011 0:00,0,92,18.8,13.7,8.6,1,7/21/2011,248,
2011,7,22,M,31,,M,,,0.2,3053536.2011.7.22,7/22/2011 0:00,,98,,,2,1,7/22/2011,232,
2011,7,23,,57,,M,6.9,,0.3,3053536.2011.7.23,7/23/2011 0:00,0,97,16.1,11.1,6,1,7/23/2011,195,
2011,7,24,,33,,M,4.8,,0.2,3053536.2011.7.24,7/24/2011 0:00,0,99,23,13.2,3.3,1,7/24/2011,174,
2011,7,25,,,,M,2,,,3053536.2011.7.25,7/25/2011 0:00,0,,25.8,16,6.2,1,7/25/2011,175,
2011,7,26,,34,,M,4.4,,0,3053536.2011.7.26,7/26/2011 0:00,0,94,21.2,13.6,6,1,7/26/2011,193,
2011,7,27,,32,,M,3.4,,0,3053536.2011.7.27,7/27/2011 0:00,0,78,19.5,14.6,9.7,1,7/27/2011,193,
2011,7,28,,35,,M,3.6,,4.4,3053536.2011.7.28,7/28/2011 0:00,0,97,20.5,14.4,8.2,1,7/28/2011,183,
2011,7,29,,26,,M,4.4,,0.2,3053536.2011.7.29,7/29/2011 0:00,0,98,20.5,13.6,6.7,1,7/29/2011,199,
2011,7,30,,22,,M,3.7,,0.2,3053536.2011.7.30,7/30/2011 0:00,0,98,26.6,14.3,1.9,1,7/30/2011,184,
2011,7,31,,58,,M,4.3,,9,3053536.2011.7.31,7/31/2011 0:00,0,97,19.8,13.7,7.6,1,7/31/2011,200,
2011,8,1,,25,,M,4.2,,0,3053536.2011.8.1,8/1/2011 0:00,0,98,20.9,13.8,6.7,1,8/1/2011,267,
2011,8,2,,27,,M,4.5,,0,3053536.2011.8.2,8/2/2011 0:00,0,88,22.6,13.5,4.4,1,8/2/2011,218,
2011,8,3,,42,,M,4.3,,0,3053536.2011.8.3,8/3/2011 0:00,0,84,20.4,13.7,7,1,8/3/2011,187,
2011,8,4,,24,,M,3.9,,0.2,3053536.2011.8.4,8/4/2011 0:00,0,99,24.9,14.1,3.2,1,8/4/2011,168,
2011,8,5,,25,,M,2.9,,0,3053536.2011.8.5,8/5/2011 0:00,0,98,27.3,15.1,2.9,1,8/5/2011,165,
2011,8,6,,39,,M,4.9,,14.6,3053536.2011.8.6,8/6/2011 0:00,0,97,18.6,13.1,7.5,1,8/6/2011,220,
2011,8,7,,60,,M,5.9,,0.2,3053536.2011.8.7,8/7/2011 0:00,0,97,17,12.1,7.2,1,8/7/2011,230,
2011,8,8,,25,,M,3.3,,0,3053536.2011.8.8,8/8/2011 0:00,0,99,26,14.7,3.3,1,8/8/2011,190,
2011,8,9,,24,,M,2.7,,0,3053536.2011.8.9,8/9/2011 0:00,0,98,26.4,15.3,4.1,1,8/9/2011,184,
2011,8,10,,30,,M,3,,0.5,3053536.2011.8.10,8/10/2011 0:00,0,97,25.2,15,4.7,1,8/10/2011,185,
2011,8,11,,34,,M,2.8,,0.2,3053536.2011.8.11,8/11/2011 0:00,0,98,23.8,15.2,6.5,1,8/11/2011,192,
2011,8,12,,23,,M,2.7,,0.2,3053536.2011.8.12,8/12/2011 0:00,0,99,26.6,15.3,4,1,8/12/2011,188,
2011,8,13,,23,,M,1.2,,0,3053536.2011.8.13,8/13/2011 0:00,0,93,27.1,16.8,6.5,1,8/13/2011,188,
2011,8,14,,45,,M,6.2,,3.3,3053536.2011.8.14,8/14/2011 0:00,0,95,19.7,11.8,3.9,1,8/14/2011,189,
2011,8,15,,31,,M,6.9,,0,3053536.2011.8.15,8/15/2011 0:00,0,99,17.5,11.1,4.7,1,8/15/2011,184,
2011,8,16,,40,,M,6.5,,0,3053536.2011.8.16,8/16/2011 0:00,0,93,19.1,11.5,3.9,1,8/16/2011,152,
2011,8,17,,64,,M,6.2,,0.6,3053536.2011.8.17,8/17/2011 0:00,0,89,14.7,11.8,8.9,1,8/17/2011,132,
2011,8,18,,36,,M,7.2,,1.6,3053536.2011.8.18,8/18/2011 0:00,0,97,17.1,10.8,4.5,1,8/18/2011,134,
2011,8,19,,24,,M,7.2,,0.2,3053536.2011.8.19,8/19/2011 0:00,0,100,21.1,10.8,0.4,1,8/19/2011,118,
2011,8,20,,26,,M,0,,0,3053536.2011.8.20,8/20/2011 0:00,0.6,74,26.6,18.6,10.6,1,8/20/2011,110,A
2011,8,21,,24,,M,1.5,,0,3053536.2011.8.21,8/21/2011 0:00,0,96,27.4,16.5,5.5,1,8/21/2011,121,
2011,8,22,,33,,M,0.8,,0,3053536.2011.8.22,8/22/2011 0:00,0,66,21.5,17.2,12.8,1,8/22/2011,150,
2011,8,23,,37,,M,2.9,,8.5,3053536.2011.8.23,8/23/2011 0:00,0,97,21.4,15.1,8.8,1,8/23/2011,198,
2011,8,24,,23,,M,2.4,,0.2,3053536.2011.8.24,8/24/2011 0:00,0,97,25.8,15.6,5.3,1,8/24/2011,190,
2011,8,25,,20,,M,2.8,,0,3053536.2011.8.25,8/25/2011 0:00,0,93,24.9,15.2,5.4,1,8/25/2011,182,
2011,8,26,,30,,M,5.1,,0,3053536.2011.8.26,8/26/2011 0:00,0,99,23.5,12.9,2.2,1,8/26/2011,164,
2011,8,27,,16,,M,2.8,,0,3053536.2011.8.27,8/27/2011 0:00,0,98,26.5,15.2,3.9,1,8/27/2011,155,A
2011,8,28,,19,,M,3.6,,0,3053536.2011.8.28,8/28/2011 0:00,0,98,28.1,14.4,0.6,1,8/28/2011,145,A
2011,8,29,,54,,M,6.1,,0.7,3053536.2011.8.29,8/29/2011 0:00,0,95,19.3,11.9,4.5,1,8/29/2011,144,
2011,8,30,,25,,M,4.2,,3.3,3053536.2011.8.30,8/30/2011 0:00,0,98,20,13.8,7.6,1,8/30/2011,162,
2011,8,31,,38,,M,8.2,,0,3053536.2011.8.31,8/31/2011 0:00,0,87,15.4,9.8,4.1,1,8/31/2011,142,
2011,9,1,,29,,M,10.1,,0.6,3053536.2011.9.1,9/1/2011 0:00,0,100,17.3,7.9,-1.6,1,9/1/2011,115,
2011,9,2,,43,,M,7.9,,0,3053536.2011.9.2,9/2/2011 0:00,0,91,15.1,10.1,5,1,9/2/2011,107,
2011,9,3,,28,,M,7.7,,0,3053536.2011.9.3,9/3/2011 0:00,0,100,21.3,10.3,-0.8,1,9/3/2011,94.9,
