x,y,TEMP,WIND_DIRECTION,STATION_PRESSURE_FLAG,LOCAL_YEAR,WIND_SPEED_FLAG,RELATIVE_HUMIDITY,WINDCHILL_FLAG,WIND_SPEED,LOCAL_DAY,CLIMATE_IDENTIFIER,STATION_NAME,DEW_POINT_TEMP_FLAG,UTC_DAY,WIND_DIRECTION_FLAG,VISIBILITY,DEW_POINT_TEMP,HUMIDEX,PRECIP_AMOUNT_FLAG,RELATIVE_HUMIDITY_FLAG,STATION_PRESSURE,WINDCHILL,UTC_YEAR,PRECIP_AMOUNT,HUMIDEX_FLAG,LOCAL_DATE,WEATHER_FRE_DESC,PROVINCE_CODE,VISIBILITY_FLAG,WEATHER_ENG_DESC,LOCAL_MONTH,UTC_MONTH,ID,TEMP_FLAG,LOCAL_HOUR,UTC_DATE
-118.02972222222222,52.92638888888889,-13.0,23,,2024,,83,,7,19,3053536,JASPER WARDEN,,19,,,-15.2,,,,89.54,-18,2024,0,,2024-02-19 09:00:00,ND,AB,,NA,2,2,3053536.2024.2.19.9,,9,2024-02-19T16:00:00
-118.02972222222222,52.92638888888889,-7.9,22,,2024,,69,,8,19,3053536,JASPER WARDEN,,19,,,-12.6,,,,89.5,-12,2024,0,,2024-02-19 10:00:00,ND,AB,,NA,2,2,3053536.2024.2.19.10,,10,2024-02-19T17:00:00
-118.02972222222222,52.92638888888889,-3.5,21,,2024,,54,,6,19,3053536,JASPER WARDEN,,19,,,-11.5,,,,89.43,-6,2024,0,,2024-02-19 11:00:00,ND,AB,,NA,2,2,3053536.2024.2.19.11,,11,2024-02-19T18:00:00
-118.02972222222222,52.92638888888889,-0.6,24,,2024,,45,,7,19,3053536,JASPER WARDEN,,19,,,-11.2,,,,89.36,-3,2024,0,,2024-02-19 12:00:00,ND,AB,,NA,2,2,3053536.2024.2.19.12,,12,2024-02-19T19:00:00
-118.02972222222222,52.92638888888889,2.8,19,,2024,,37,,4,19,3053536,JASPER WARDEN,,19,,,-10.5,,,,89.26,,2024,0,,2024-02-19 13:00:00,ND,AB,,NA,2,2,3053536.2024.2.19.13,,13,2024-02-19T20:00:00
-118.02972222222222,52.92638888888889,5.7,21,,2024,,33,,4,19,3053536,JASPER WARDEN,,19,,,-9.3,,,,89.18,,2024,0,,2024-02-19 14:00:00,ND,AB,,NA,2,2,3053536.2024.2.19.14,,14,2024-02-19T21:00:00
-118.02972222222222,52.92638888888889,6.5,22,,2024,,32,,3,19,3053536,JASPER WARDEN,,19,,,-9.1,,,,89.11,,2024,0,,2024-02-19 15:00:00,ND,AB,,NA,2,2,3053536.2024.2.19.15,,15,2024-02-19T22:00:00
-118.02972222222222,52.92638888888889,8.5,21,,2024,,29,,4,19,3053536,JASPER WARDEN,,19,,,-8.5,,,,89.06,,2024,0,,2024-02-19 16:00:00,ND,AB,,NA,2,2,3053536.2024.2.19.16,,16,2024-02-19T23:00:00
-118.02972222222222,52.92638888888889,5.8,21,,2024,,35,,3,19,3053536,JASPER WARDEN,,20,,,-8.5,,,,89.05,,2024,0,,2024-02-19 17:00:00,ND,AB,,NA,2,2,3053536.2024.2.19.17,,17,2024-02-20T00:00:00
-118.02972222222222,52.92638888888889,-0.8,19,,2024,,63,,2,19,3053536,JASPER WARDEN,,20,,,-7.0,,,,89.08,-1,2024,0,,2024-02-19 18:00:00,ND,AB,,NA,2,2,3053536.2024.2.19.18,,18,2024-02-20T01:00:00
-118.02972222222222,52.92638888888889,-1.9,19,,2024,,65,,8,19,3053536,JASPER WARDEN,,20,,,-7.6,,,,89.06,-5,2024,0,,2024-02-19 19:00:00,ND,AB,,NA,2,2,3053536.2024.2.19.19,,19,2024-02-20T02:00:00
-118.02972222222222,52.92638888888889,-3.8,21,,2024,,70,,5,19,3053536,JASPER WARDEN,,20,,,-8.4,,,,89.1,-6,2024,0,,2024-02-19 20:00:00,ND,AB,,NA,2,2,3053536.2024.2.19.20,,20,2024-02-20T03:00:00
-118.02972222222222,52.92638888888889,-5.5,21,,2024,,73,,4,19,3053536,JASPER WARDEN,,20,,,-9.6,,,,89.13,-7,2024,0,,2024-02-19 21:00:00,ND,AB,,NA,2,2,3053536.2024.2.19.21,,21,2024-02-20T04:00:00
-118.02972222222222,52.92638888888889,-6.6,22,,2024,,76,,5,19,3053536,JASPER WARDEN,,20,,,-10.1,,,,89.18,-9,2024,0,,2024-02-19 22:00:00,ND,AB,,NA,2,2,3053536.2024.2.19.22,,22,2024-02-20T05:00:00
-118.02972222222222,52.92638888888889,-8.2,22,,2024,,80,,6,19,3053536,JASPER WARDEN,,20,,,-11.0,,,,89.2,-11,2024,0,,2024-02-19 23:00:00,ND,AB,,NA,2,2,3053536.2024.2.19.23,,23,2024-02-20T06:00:00
