x,y,PROVINCE_CODE,WIND_SPEED_FLAG,VISIBILITY,WEATHER_ENG_DESC,ID,PRECIP_AMOUNT,DEW_POINT_TEMP_FLAG,RELATIVE_HUMIDITY,STATION_PRESSURE_FLAG,STATION_PRESSURE,WIND_DIRECTION,LOCAL_MONTH,LOCAL_YEAR,PRECIP_AMOUNT_FLAG,CLIMATE_IDENTIFIER,HUMIDEX,WIND_SPEED,TEMP,RELATIVE_HUMIDITY_FLAG,WINDCHILL_FLAG,LOCAL_DAY,LOCAL_DATE,WIND_DIRECTION_FLAG,DEW_POINT_TEMP,UTC_MONTH,UTC_YEAR,HUMIDEX_FLAG,WINDCHILL,VISIBILITY_FLAG,WEATHER_FRE_DESC,STATION_NAME,UTC_DAY,TEMP_FLAG,UTC_DATE,LOCAL_HOUR
-118.02972222222222,52.92638888888889,AB,,,NA,3053536.1996.8.24.17,,,21,M,,26,8,1996,,3053536,29,4,30.1,,,24,1996-08-24 17:00:00,,5.3,8,1996,,,M,ND,JASPER WARDEN,25,,1996-08-25T00:00:00,17
-118.02972222222222,52.92638888888889,AB,,,NA,3053536.1996.8.24.18,,,22,M,,30,8,1996,,3053536,28,6,28.5,,,24,1996-08-24 18:00:00,,4.9,8,1996,,,M,ND,JASPER WARDEN,25,,1996-08-25T01:00:00,18
-118.02972222222222,52.92638888888889,AB,,,NA,3053536.1996.8.24.19,,,24,M,,29,8,1996,,3053536,26,4,27.0,,,24,1996-08-24 19:00:00,,4.9,8,1996,,,M,ND,JASPER WARDEN,25,,1996-08-25T02:00:00,19
-118.02972222222222,52.92638888888889,AB,,,NA,3053536.1996.8.24.20,,,39,M,,14,8,1996,,3053536,,4,20.1,,,24,1996-08-24 20:00:00,,5.8,8,1996,,,M,ND,JASPER WARDEN,25,,1996-08-25T03:00:00,20
-118.02972222222222,52.92638888888889,AB,,,NA,3053536.1996.8.24.21,,,59,M,,0,8,1996,,3053536,,0,15.9,,,24,1996-08-24 21:00:00,,7.9,8,1996,,,M,ND,JASPER WARDEN,25,,1996-08-25T04:00:00,21
-118.02972222222222,52.92638888888889,AB,,,NA,3053536.1996.8.24.22,,,71,M,,0,8,1996,,3053536,,0,13.4,,,24,1996-08-24 22:00:00,,8.3,8,1996,,,M,ND,JASPER WARDEN,25,,1996-08-25T05:00:00,22
-118.02972222222222,52.92638888888889,AB,,,NA,3053536.1996.8.24.23,,,79,M,,0,8,1996,,3053536,,0,11.4,,,24,1996-08-24 23:00:00,,7.8,8,1996,,,M,ND,JASPER WARDEN,25,,1996-08-25T06:00:00,23
-118.02972222222222,52.92638888888889,AB,,,NA,3053536.1996.8.25.0,,,89,M,,0,8,1996,,3053536,,0,10.0,,,25,1996-08-25 00:00:00,,8.2,8,1996,,,M,ND,JASPER WARDEN,25,,1996-08-25T07:00:00,0
-118.02972222222222,52.92638888888889,AB,,,NA,3053536.1996.8.25.1,,,91,M,,0,8,1996,,3053536,,0,8.3,,,25,1996-08-25 01:00:00,,6.9,8,1996,,,M,ND,JASPER WARDEN,25,,1996-08-25T08:00:00,1
-118.02972222222222,52.92638888888889,AB,,,NA,3053536.1996.8.25.2,,,95,M,,0,8,1996,,3053536,,0,7.7,,,25,1996-08-25 02:00:00,,7.0,8,1996,,,M,ND,JASPER WARDEN,25,,1996-08-25T09:00:00,2
-118.02972222222222,52.92638888888889,AB,,,NA,3053536.1996.8.25.3,,,97,M,,18,8,1996,,3053536,,4,6.7,,,25,1996-08-25 03:00:00,,6.2,8,1996,,,M,ND,JASPER WARDEN,25,,1996-08-25T10:00:00,3
-118.02972222222222,52.92638888888889,AB,,,NA,3053536.1996.8.25.4,,,100,M,,21,8,1996,,3053536,,4,5.4,,,25,1996-08-25 04:00:00,,5.4,8,1996,,,M,ND,JASPER WARDEN,25,,1996-08-25T11:00:00,4
-118.02972222222222,52.92638888888889,AB,,,NA,3053536.1996.8.25.5,,,100,M,,0,8,1996,,3053536,,0,4.7,,,25,1996-08-25 05:00:00,,4.7,8,1996,,,M,ND,JASPER WARDEN,25,,1996-08-25T12:00:00,5
-118.02972222222222,52.92638888888889,AB,,,NA,3053536.1996.8.25.6,,,100,M,,18,8,1996,,3053536,,4,4.4,,,25,1996-08-25 06:00:00,,4.4,8,1996,,,M,ND,JASPER WARDEN,25,,1996-08-25T13:00:00,6
-118.02972222222222,52.92638888888889,AB,,,NA,3053536.1996.8.25.7,,,100,M,,21,8,1996,,3053536,,4,4.3,,,25,1996-08-25 07:00:00,,4.3,8,1996,,,M,ND,JASPER WARDEN,25,,1996-08-25T14:00:00,7
-118.02972222222222,52.92638888888889,AB,,,NA,3053536.1996.8.25.8,,,85,M,,0,8,1996,,3053536,,0,9.5,,,25,1996-08-25 08:00:00,,7.1,8,1996,,,M,ND,JASPER WARDEN,25,,1996-08-25T15:00:00,8
-118.02972222222222,52.92638888888889,AB,,,NA,3053536.1996.8.25.9,,,62,M,,19,8,1996,,3053536,,6,13.6,,,25,1996-08-25 09:00:00,,6.4,8,1996,,,M,ND,JASPER WARDEN,25,,1996-08-25T16:00:00,9
-118.02972222222222,52.92638888888889,AB,,,NA,3053536.1996.8.25.10,,,47,M,,19,8,1996,,3053536,,6,17.8,,,25,1996-08-25 10:00:00,,6.4,8,1996,,,M,ND,JASPER WARDEN,25,,1996-08-25T17:00:00,10
-118.02972222222222,52.92638888888889,AB,,,NA,3053536.1996.8.25.11,,,38,M,,23,8,1996,,3053536,,9,20.9,,,25,1996-08-25 11:00:00,,6.1,8,1996,,,M,ND,JASPER WARDEN,25,,1996-08-25T18:00:00,11
-118.02972222222222,52.92638888888889,AB,,,NA,3053536.1996.8.25.12,,,33,M,,19,8,1996,,3053536,,4,23.7,,,25,1996-08-25 12:00:00,,6.7,8,1996,,,M,ND,JASPER WARDEN,25,,1996-08-25T19:00:00,12
-118.02972222222222,52.92638888888889,AB,,,NA,3053536.1996.8.25.13,,,28,M,,0,8,1996,,3053536,27,0,26.7,,,25,1996-08-25 13:00:00,,6.7,8,1996,,,M,ND,JASPER WARDEN,25,,1996-08-25T20:00:00,13
-118.02972222222222,52.92638888888889,AB,,,NA,3053536.1996.8.25.14,,,21,M,,22,8,1996,,3053536,28,9,29.1,,,25,1996-08-25 14:00:00,,4.4,8,1996,,,M,ND,JASPER WARDEN,25,,1996-08-25T21:00:00,14
-118.02972222222222,52.92638888888889,AB,,,NA,3053536.1996.8.25.15,,,19,M,,24,8,1996,,3053536,29,6,30.0,,,25,1996-08-25 15:00:00,,4.2,8,1996,,,M,ND,JASPER WARDEN,25,,1996-08-25T22:00:00,15
-118.02972222222222,52.92638888888889,AB,,,NA,3053536.1996.8.25.16,,,18,M,,17,8,1996,,3053536,29,7,30.2,,,25,1996-08-25 16:00:00,,3.6,8,1996,,,M,ND,JASPER WARDEN,25,,1996-08-25T23:00:00,16
-118.02972222222222,52.92638888888889,AB,,,NA,3053536.1996.8.25.17,,,20,M,,25,8,1996,,3053536,28,4,29.4,,,25,1996-08-25 17:00:00,,3.9,8,1996,,,M,ND,JASPER WARDEN,26,,1996-08-26T00:00:00,17
-118.02972222222222,52.92638888888889,AB,,,NA,3053536.1996.8.25.18,,,22,M,,25,8,1996,,3053536,27,4,28.0,,,25,1996-08-25 18:00:00,,4.1,8,1996,,,M,ND,JASPER WARDEN,26,,1996-08-26T01:00:00,18
-118.02972222222222,52.92638888888889,AB,,,NA,3053536.1996.8.25.19,,,29,M,,0,8,1996,,3053536,25,0,25.3,,,25,1996-08-25 19:00:00,,6.1,8,1996,,,M,ND,JASPER WARDEN,26,,1996-08-26T02:00:00,19
-118.02972222222222,52.92638888888889,AB,,,NA,3053536.1996.8.25.20,,,41,M,,15,8,1996,,3053536,,4,19.9,,,25,1996-08-25 20:00:00,,6.2,8,1996,,,M,ND,JASPER WARDEN,26,,1996-08-26T03:00:00,20
-118.02972222222222,52.92638888888889,AB,,,NA,3053536.1996.8.25.21,,,34,M,,16,8,1996,,3053536,,11,20.7,,,25,1996-08-25 21:00:00,,4.3,8,1996,,,M,ND,JASPER WARDEN,26,,1996-08-26T04:00:00,21
-118.02972222222222,52.92638888888889,AB,,,NA,3053536.1996.8.25.22,,,42,M,,18,8,1996,,3053536,,7,17.3,,,25,1996-08-25 22:00:00,,4.2,8,1996,,,M,ND,JASPER WARDEN,26,,1996-08-26T05:00:00,22
-118.02972222222222,52.92638888888889,AB,,,NA,3053536.1996.8.25.23,,,59,M,,0,8,1996,,3053536,,0,12.6,,,25,1996-08-25 23:00:00,,4.7,8,1996,,,M,ND,JASPER WARDEN,26,,1996-08-26T06:00:00,23
-118.02972222222222,52.92638888888889,AB,,,NA,3053536.1996.8.26.0,,,76,M,,0,8,1996,,3053536,,0,9.3,,,26,1996-08-26 00:00:00,,5.3,8,1996,,,M,ND,JASPER WARDEN,26,,1996-08-26T07:00:00,0
-118.02972222222222,52.92638888888889,AB,,,NA,3053536.1996.8.26.1,,,85,M,,22,8,1996,,3053536,,4,7.3,,,26,1996-08-26 01:00:00,,4.9,8,1996,,,M,ND,JASPER WARDEN,26,,1996-08-26T08:00:00,1
-118.02972222222222,52.92638888888889,AB,,,NA,3053536.1996.8.26.2,,,89,M,,0,8,1996,,3053536,,0,6.8,,,26,1996-08-26 02:00:00,,5.1,8,1996,,,M,ND,JASPER WARDEN,26,,1996-08-26T09:00:00,2
-118.02972222222222,52.92638888888889,AB,,,NA,3053536.1996.8.26.3,,,96,M,,20,8,1996,,3053536,,4,5.9,,,26,1996-08-26 03:00:00,,5.3,8,1996,,,M,ND,JASPER WARDEN,26,,1996-08-26T10:00:00,3
-118.02972222222222,52.92638888888889,AB,,,NA,3053536.1996.8.26.4,,,99,M,,0,8,1996,,3053536,,0,4.4,,,26,1996-08-26 04:00:00,,4.3,8,1996,,,M,ND,JASPER WARDEN,26,,1996-08-26T11:00:00,4
-118.02972222222222,52.92638888888889,AB,,,NA,3053536.1996.8.26.5,,,100,M,,21,8,1996,,3053536,,6,3.7,,,26,1996-08-26 05:00:00,,3.7,8,1996,,,M,ND,JASPER WARDEN,26,,1996-08-26T12:00:00,5
-118.02972222222222,52.92638888888889,AB,,,NA,3053536.1996.8.26.6,,,100,M,,20,8,1996,,3053536,,4,3.9,,,26,1996-08-26 06:00:00,,3.9,8,1996,,,M,ND,JASPER WARDEN,26,,1996-08-26T13:00:00,6
