LOCAL_DATE,DIRECTION_MAX_GUST,SPEED_MAX_GUST,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS,MAX_REL_HUMIDITY,MIN_REL_HUMIDITY,TOTAL_PRECIPITATION,TOTAL_RAIN,TOTAL_SNOW,SNOW_ON_GROUND,MAX_TEMPERATURE,MEAN_TEMPERATURE,MIN_TEMPERATURE,PARAM,Value,SYM,Year,Month,Day
3/22/1994,,,0,19.9,,,4.1,,,,0.6,-1.9,-4.4,1,11.3,,1994,3,22
3/23/1994,,,0,19.9,,,0,,,,2.9,-1.9,-6.6,1,11.3,,1994,3,23
3/24/1994,,,0,18.2,,,0,,,,5.5,-0.2,-5.9,1,10.9,,1994,3,24
3/25/1994,20,39,0,16.5,,,0,,,,9.6,1.5,-6.7,1,10.7,,1994,3,25
3/26/1994,,,0,14.9,,,0,,,,11.4,3.1,-5.2,1,11.3,,1994,3,26
3/27/1994,32,43,0,12,,,0,,,,15.7,6,-3.8,1,11.8,,1994,3,27
3/28/1994,1,48,0,14.2,,,0,,,,12.8,3.8,-5.3,1,12.4,,1994,3,28
3/29/1994,,,0,13.3,,,0,,,,17.5,4.7,-8.1,1,12.3,,1994,3,29
3/30/1994,,,0,11.4,,,0,,,,18.5,6.6,-5.4,1,13,,1994,3,30
3/31/1994,,,0,11.7,,,0,,,,16.2,6.3,-3.6,1,13.9,,1994,3,31
4/1/1994,,,0,12.5,,,0,,,,12.9,5.5,-2,1,15.3,,1994,4,1
4/2/1994,,,0,14.4,,,3,,,,13.3,3.6,-6.1,1,16.1,,1994,4,2
4/3/1994,32,39,0,13.3,,,4.5,,,,8.1,4.7,1.3,1,17.6,,1994,4,3
4/4/1994,35,43,0,15.9,,,0,,,,6.7,2.1,-2.6,1,17.6,,1994,4,4
4/5/1994,36,41,0,17.9,,,0,,,,5.8,0.1,-5.7,1,17.1,,1994,4,5
4/6/1994,,,0,18.4,,,0,,,,10.1,-0.4,-10.8,1,16.3,,1994,4,6
4/7/1994,,,0,15.6,,,4.4,,,,7.2,2.4,-2.4,1,16.3,,1994,4,7
4/8/1994,,,0,15.2,,,0,,,,10.2,2.8,-4.6,1,16.3,,1994,4,8
4/9/1994,,,0,14,,,0,,,,11.1,4,-3.1,1,16.1,,1994,4,9
4/10/1994,18,32,0,12.7,,,0,,,,14.1,5.3,-3.6,1,16.6,,1994,4,10
4/11/1994,19,46,0,9,,,0,,,,14.7,9,3.3,1,17.9,,1994,4,11
4/12/1994,13,37,0,11.1,,,5.8,,,,10.6,6.9,3.1,1,20.9,,1994,4,12
4/13/1994,24,43,0,16.9,,,1.8,,,,5.6,1.1,-3.4,1,23.4,,1994,4,13
4/14/1994,,,0,18.1,,,0,,,,4.6,-0.1,-4.7,1,20.2,,1994,4,14
4/15/1994,31,39,0,10.5,,,0,,,,13.5,7.5,1.5,1,18.7,,1994,4,15
4/16/1994,16,35,0,6.2,,,0,,,,18,11.8,5.5,1,19.5,,1994,4,16
4/17/1994,29,37,0,7.7,,,0,,,,16.2,10.3,4.4,1,24.3,,1994,4,17
4/18/1994,,,0,11.7,,,0,,,,16.8,6.3,-4.3,1,28.1,,1994,4,18
4/19/1994,,,0,11.8,,,0.4,,,,15.5,6.2,-3.2,1,30.1,,1994,4,19
4/20/1994,,,0,8.1,,,0,,,,19.1,9.9,0.6,1,32.6,,1994,4,20
4/21/1994,17,32,0,10.7,,,0,,,,17.7,7.3,-3.1,1,37.5,,1994,4,21
4/22/1994,25,32,0,9.7,,,0,,,,15.4,8.3,1.1,1,42,,1994,4,22
4/23/1994,36,43,0,12.5,,,0,,,,15.9,5.5,-4.9,1,45.1,,1994,4,23
4/24/1994,32,54,0,14.9,,,0,,,,6.4,3.1,-0.2,1,44.6,,1994,4,24
4/25/1994,33,46,0,16.5,,,0,,,,4,1.5,-1,1,42.5,,1994,4,25
4/26/1994,34,43,0,12.9,,,0,,,,10.6,5.1,-0.4,1,39.5,,1994,4,26
4/27/1994,34,43,0,15,,,0,,,,9,3,-3,1,37,,1994,4,27
4/28/1994,,,0,14.1,,,0,,,,15.5,3.9,-7.7,1,34.4,,1994,4,28
4/29/1994,,,0,11.6,,,0,,,,15.9,6.4,-3.2,1,33.9,,1994,4,29
4/30/1994,,,0,11.6,,,0,,,,15,6.4,-2.3,1,35.7,,1994,4,30
5/1/1994,36,33,0,9.4,,,4,,,,13,8.6,4.2,1,38.7,,1994,5,1
5/2/1994,,,0,10.3,,,0.2,,,,11.8,7.7,3.5,1,42.8,,1994,5,2
5/3/1994,,,0,10.9,,,0,,,,14.3,7.1,-0.2,1,41.6,,1994,5,3
5/4/1994,,,0,13.2,,,0,,,,16,4.8,-6.5,1,40,,1994,5,4
5/5/1994,20,37,0,8.7,,,1.6,,,,16.5,9.3,2.1,1,40.5,,1994,5,5
5/6/1994,23,33,0,6.6,,,0,,,,22.9,11.4,-0.1,1,43.9,,1994,5,6
5/7/1994,23,41,0,6.3,,,0,,,,20.1,11.7,3.3,1,60.5,,1994,5,7
5/8/1994,,,0,8,,,0,,,,23.3,10,-3.4,1,90.2,,1994,5,8
