x,y,SPEED_MAX_GUST,MAX_REL_HUMIDITY_FLAG,TOTAL_PRECIPITATION,SNOW_ON_GROUND,LOCAL_YEAR,LOCAL_MONTH,PROVINCE_CODE,DIRECTION_MAX_GUST_FLAG,STATION_NAME,MIN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS,MAX_REL_HUMIDITY,TOTAL_SNOW_FLAG,TOTAL_RAIN_FLAG,LOCAL_DATE,TOTAL_SNOW,MEAN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,MAX_TEMPERATURE,LOCAL_DAY,HEATING_DEGREE_DAYS_FLAG,TOTAL_PRECIPITATION_FLAG,SPEED_MAX_GUST_FLAG,MEAN_TEMPERATURE,MIN_REL_HUMIDITY_FLAG,DIRECTION_MAX_GUST,TOTAL_RAIN,CLIMATE_IDENTIFIER,SNOW_ON_GROUND_FLAG,COOLING_DEGREE_DAYS,MAX_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS_FLAG,ID,MIN_TEMPERATURE
-118.02972222222222,52.92638888888889,0,,4.1,,1994,3,AB,,JASPER WARDEN,,19.9,,M,M,1994-03-22 00:00:00,,,,0.6,22,,,,-1.9,,0,,3053536,,0,,,3053536.1994.3.22,-4.4
-118.02972222222222,52.92638888888889,0,,0,,1994,3,AB,,JASPER WARDEN,,19.9,,M,M,1994-03-23 00:00:00,,,,2.9,23,,,,-1.9,,0,,3053536,,0,,,3053536.1994.3.23,-6.6
-118.02972222222222,52.92638888888889,0,,0,,1994,3,AB,,JASPER WARDEN,,18.2,,M,M,1994-03-24 00:00:00,,,,5.5,24,,,,-0.2,,0,,3053536,,0,,,3053536.1994.3.24,-5.9
-118.02972222222222,52.92638888888889,39,,0,,1994,3,AB,,JASPER WARDEN,,16.5,,M,M,1994-03-25 00:00:00,,,,9.6,25,,,,1.5,,20,,3053536,,0,,,3053536.1994.3.25,-6.7
-118.02972222222222,52.92638888888889,0,,0,,1994,3,AB,,JASPER WARDEN,,14.9,,M,M,1994-03-26 00:00:00,,,,11.4,26,,,,3.1,,0,,3053536,,0,,,3053536.1994.3.26,-5.2
-118.02972222222222,52.92638888888889,43,,0,,1994,3,AB,,JASPER WARDEN,,12,,M,M,1994-03-27 00:00:00,,,,15.7,27,,,,6,,32,,3053536,,0,,,3053536.1994.3.27,-3.8
-118.02972222222222,52.92638888888889,48,,0,,1994,3,AB,,JASPER WARDEN,,14.2,,M,M,1994-03-28 00:00:00,,,,12.8,28,,,,3.8,,1,,3053536,,0,,,3053536.1994.3.28,-5.3
-118.02972222222222,52.92638888888889,0,,0,,1994,3,AB,,JASPER WARDEN,,13.3,,M,M,1994-03-29 00:00:00,,,,17.5,29,,,,4.7,,0,,3053536,,0,,,3053536.1994.3.29,-8.1
-118.02972222222222,52.92638888888889,0,,0,,1994,3,AB,,JASPER WARDEN,,11.4,,M,M,1994-03-30 00:00:00,,,,18.5,30,,,,6.6,,0,,3053536,,0,,,3053536.1994.3.30,-5.4
-118.02972222222222,52.92638888888889,0,,0,,1994,3,AB,,JASPER WARDEN,,11.7,,M,M,1994-03-31 00:00:00,,,,16.2,31,,,,6.3,,0,,3053536,,0,,,3053536.1994.3.31,-3.6
