x,y,LOCAL_YEAR,MEAN_TEMPERATURE_FLAG,LOCAL_MONTH,LOCAL_DAY,SPEED_MAX_GUST,PROVINCE_CODE,HEATING_DEGREE_DAYS_FLAG,SPEED_MAX_GUST_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,DIRECTION_MAX_GUST,SNOW_ON_GROUND,STATION_NAME,TOTAL_SNOW_FLAG,HEATING_DEGREE_DAYS,TOTAL_RAIN,TOTAL_PRECIPITATION,MAX_TEMPERATURE_FLAG,ID,TOTAL_SNOW,LOCAL_DATE,DIRECTION_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG,TOTAL_RAIN_FLAG,MAX_TEMPERATURE,TOTAL_PRECIPITATION_FLAG,MEAN_TEMPERATURE,COOLING_DEGREE_DAYS_FLAG,MIN_TEMPERATURE_FLAG,CLIMATE_IDENTIFIER,MIN_TEMPERATURE,SNOW_ON_GROUND_FLAG,,,
-118.0297222,52.92638889,2011,,7,10,0,AB,,,48,,0,,JASPER WARDEN,M,3.9,,0.2,,3053536.2011.7.10,,7/10/2011 0:00,,0,95,,M,19,,14.1,,,3053536,9.1,,,,
-118.0297222,52.92638889,2011,,7,11,32,AB,,,42,,34,,JASPER WARDEN,M,3.4,,0,,3053536.2011.7.11,,7/11/2011 0:00,,0,97,,M,22.4,,14.6,,,3053536,6.8,,,,
-118.0297222,52.92638889,2011,,7,12,35,AB,,,43,,33,,JASPER WARDEN,M,1.6,,0,,3053536.2011.7.12,,7/12/2011 0:00,,0,91,,M,22.2,,16.4,,,3053536,10.5,,,,
-118.0297222,52.92638889,2011,,7,13,0,AB,,,38,,0,,JASPER WARDEN,M,1.4,,2.1,,3053536.2011.7.13,,7/13/2011 0:00,,0,96,,M,22.7,,16.6,,,3053536,10.5,,,,
-118.0297222,52.92638889,2011,,7,14,32,AB,,,33,,19,,JASPER WARDEN,M,4.7,,0.3,,3053536.2011.7.14,,7/14/2011 0:00,,0,98,,M,19.9,,13.3,,,3053536,6.7,,,,
-118.0297222,52.92638889,2011,,7,15,0,AB,,,39,,0,,JASPER WARDEN,M,3.7,,0.9,,3053536.2011.7.15,,7/15/2011 0:00,,0,93,,M,19.7,,14.3,,,3053536,8.8,,,,
-118.0297222,52.92638889,2011,,7,16,0,AB,,,24,,0,,JASPER WARDEN,M,1.7,,0,,3053536.2011.7.16,,7/16/2011 0:00,,0,87,,M,24.7,,16.3,,,3053536,7.8,,,,
-118.0297222,52.92638889,2011,,7,17,32,AB,,,22,,21,,JASPER WARDEN,M,1.4,,1.1,,3053536.2011.7.17,,7/17/2011 0:00,,0,98,,M,24.7,,16.6,,,3053536,8.5,,,,
-118.0297222,52.92638889,2011,,7,18,33,AB,,,40,,18,,JASPER WARDEN,M,2.2,,2.4,,3053536.2011.7.18,,7/18/2011 0:00,,0,98,,M,22.7,,15.8,,,3053536,8.9,,,,
-118.0297222,52.92638889,2011,,7,19,0,AB,,,45,,0,,JASPER WARDEN,M,4.7,,1.2,,3053536.2011.7.19,,7/19/2011 0:00,,0,97,,M,19.4,,13.3,,,3053536,7.1,,,,
