PARAM,Date,Value,SYM
1,2011/07/12,256.0,
1,2011/07/13,284.0,
1,2011/07/14,286.0,A
1,2011/07/15,250.0,
1,2011/07/16,222.0,
1,2011/07/17,227.0,
1,2011/07/18,252.0,
1,2011/07/19,290.0,
1,2011/07/20,281.0,
1,2011/07/21,248.0,
1,2011/07/22,232.0,
1,2011/07/23,195.0,
1,2011/07/24,174.0,
1,2011/07/25,175.0,
1,2011/07/26,193.0,
1,2011/07/27,193.0,
1,2011/07/28,183.0,
1,2011/07/29,199.0,
1,2011/07/30,184.0,
1,2011/07/31,200.0,
1,2011/08/01,267.0,
1,2011/08/02,218.0,
1,2011/08/03,187.0,
1,2011/08/04,168.0,
1,2011/08/05,165.0,
1,2011/08/06,220.0,
1,2011/08/07,230.0,
1,2011/08/08,190.0,
1,2011/08/09,184.0,
1,2011/08/10,185.0,
1,2011/08/11,192.0,
1,2011/08/12,188.0,
1,2011/08/13,188.0,
1,2011/08/14,189.0,
1,2011/08/15,184.0,
1,2011/08/16,152.0,
1,2011/08/17,132.0,
1,2011/08/18,134.0,
1,2011/08/19,118.0,
1,2011/08/20,110.0,A
1,2011/08/21,121.0,
1,2011/08/22,150.0,
1,2011/08/23,198.0,
1,2011/08/24,190.0,
1,2011/08/25,182.0,
1,2011/08/26,164.0,
1,2011/08/27,155.0,A
1,2011/08/28,145.0,A
1,2011/08/29,144.0,
1,2011/08/30,162.0,
1,2011/08/31,142.0,
1,2011/09/01,115.0,
1,2011/09/02,107.0,
1,2011/09/03,94.9,
1,2011/09/04,88.3,
1,2011/09/05,90.3,
1,2011/09/06,94.6,
1,2011/09/07,98.0,
1,2011/09/08,103.0,
1,2011/09/09,105.0,
1,2011/09/10,107.0,
1,2011/09/11,112.0,
1,2011/09/12,114.0,A
1,2011/09/13,103.0,
1,2011/09/14,97.8,
1,2011/09/15,104.0,
1,2011/09/16,109.0,
1,2011/09/17,89.7,
1,2011/09/18,77.5,
1,2011/09/19,83.7,
1,2011/09/20,73.3,
1,2011/09/21,64.2,
1,2011/09/22,69.6,
1,2011/09/23,141.0,
1,2011/09/24,181.0,
1,2011/09/25,162.0,
1,2011/09/26,191.0,
1,2011/09/27,147.0,
1,2011/09/28,127.0,
1,2011/09/29,102.0,
1,2011/09/30,91.4,
1,2011/10/01,129.0,
1,2011/10/02,153.0,
1,2011/10/03,138.0,
1,2011/10/04,153.0,
1,2011/10/05,147.0,
1,2011/10/06,120.0,
1,2011/10/07,105.0,
1,2011/10/08,94.6,
1,2011/10/09,85.1,
1,2011/10/10,78.9,
1,2011/10/11,73.9,
1,2011/10/12,70.9,
1,2011/10/13,68.2,
1,2011/10/14,62.0,
1,2011/10/15,57.5,
1,2011/10/16,52.6,
1,2011/10/17,50.6,
1,2011/10/18,49.3,
1,2011/10/19,47.5,
1,2011/10/20,48.8,
1,2011/10/21,48.7,
1,2011/10/22,48.5,
1,2011/10/23,49.0,
1,2011/10/24,45.1,
1,2011/10/25,43.6,
1,2011/10/26,39.9,A
1,2011/10/27,39.1,
1,2011/10/28,37.9,
1,2011/10/29,38.2,
1,2011/10/30,37.3,
1,2011/10/31,37.4,
1,2011/11/01,35.9,
1,2011/11/02,31.4,B
1,2011/11/03,33.5,B
1,2011/11/04,31.9,B
1,2011/11/05,24.7,B
1,2011/11/06,23.2,B
1,2011/11/07,24.4,B
1,2011/11/08,27.1,B
1,2011/11/09,25.4,B
1,2011/11/10,30.9,B
1,2011/11/11,31.5,B
1,2011/11/12,30.4,B
1,2011/11/13,29.0,B
1,2011/11/14,27.5,B
1,2011/11/15,23.7,B
1,2011/11/16,23.5,B
1,2011/11/17,22.9,B
1,2011/11/18,20.0,B
1,2011/11/19,14.0,B
1,2011/11/20,15.2,B
1,2011/11/21,20.3,B
1,2011/11/22,24.7,B
1,2011/11/23,25.3,B
1,2011/11/24,24.1,B
1,2011/11/25,24.6,B
1,2011/11/26,23.9,B
1,2011/11/27,25.5,B
1,2011/11/28,25.3,B
1,2011/11/29,24.5,B
1,2011/11/30,24.6,B
1,2011/12/01,23.1,B
1,2011/12/02,22.2,B
1,2011/12/03,21.7,B
1,2011/12/04,21.6,B
1,2011/12/05,21.7,B
1,2011/12/06,20.9,B
1,2011/12/07,20.1,B
1,2011/12/08,19.8,B
1,2011/12/09,19.3,B
1,2011/12/10,19.5,B
1,2011/12/11,19.6,B
1,2011/12/12,19.5,B
1,2011/12/13,19.1,B
1,2011/12/14,19.5,B
1,2011/12/15,20.6,B
1,2011/12/16,20.4,B
1,2011/12/17,21.8,B
1,2011/12/18,21.2,B
1,2011/12/19,19.9,B
1,2011/12/20,19.9,B
1,2011/12/21,19.7,B
1,2011/12/22,19.1,B
1,2011/12/23,18.2,B
1,2011/12/24,17.9,B
1,2011/12/25,18.8,B
1,2011/12/26,18.2,B
1,2011/12/27,18.1,B
1,2011/12/28,18.5,B
1,2011/12/29,18.7,B
1,2011/12/30,18.0,B
1,2011/12/31,17.1,B
1,2012/01/01,16.5,B
1,2012/01/02,16.8,B
1,2012/01/03,17.8,B
1,2012/01/04,19.1,B
1,2012/01/05,19.6,B
1,2012/01/06,18.0,B
1,2012/01/07,17.0,B
1,2012/01/08,17.1,B
1,2012/01/09,17.3,B
1,2012/01/10,16.5,B
1,2012/01/11,15.4,B
1,2012/01/12,14.9,B
1,2012/01/13,14.7,B
1,2012/01/14,14.3,B
1,2012/01/15,13.5,B
1,2012/01/16,12.2,B
1,2012/01/17,10.5,B
1,2012/01/18,9.11,B
1,2012/01/19,8.15,B
1,2012/01/20,7.8,B
1,2012/01/21,7.95,B
1,2012/01/22,8.7,B
1,2012/01/23,10.1,B
1,2012/01/24,11.7,B
1,2012/01/25,13.3,B
1,2012/01/26,14.2,B
1,2012/01/27,14.3,B
1,2012/01/28,14.5,B
1,2012/01/29,14.8,B
1,2012/01/30,14.9,B
1,2012/01/31,14.9,B
1,2012/02/01,15.0,B
1,2012/02/02,13.8,B
1,2012/02/03,13.2,B
1,2012/02/04,12.8,B
1,2012/02/05,12.4,B
1,2012/02/06,11.7,B
1,2012/02/07,11.5,B
1,2012/02/08,11.5,B
1,2012/02/09,11.2,B
1,2012/02/10,11.2,B
1,2012/02/11,11.5,B
1,2012/02/12,11.3,B
1,2012/02/13,10.9,B
1,2012/02/14,10.7,B
1,2012/02/15,10.8,B
1,2012/02/16,11.0,B
1,2012/02/17,11.2,B
1,2012/02/18,11.5,B
1,2012/02/19,11.6,B
1,2012/02/20,11.7,B
1,2012/02/21,11.8,B
1,2012/02/22,11.6,B
1,2012/02/23,11.2,B
1,2012/02/24,11.0,B
1,2012/02/25,10.7,B
1,2012/02/26,10.5,B
1,2012/02/27,10.2,B
1,2012/02/28,10.3,B
1,2012/02/29,10.5,B
1,2012/03/01,10.8,B
1,2012/03/02,10.7,B
1,2012/03/03,10.5,B
1,2012/03/04,10.4,B
1,2012/03/05,10.4,B
1,2012/03/06,10.6,B
1,2012/03/07,11.0,B
1,2012/03/08,11.6,B
1,2012/03/09,11.9,B
1,2012/03/10,11.9,B
1,2012/03/11,11.8,B
1,2012/03/12,11.6,B
1,2012/03/13,11.4,B
1,2012/03/14,11.2,B
1,2012/03/15,11.3,B
1,2012/03/16,11.7,B
1,2012/03/17,11.6,B
1,2012/03/18,11.1,B
1,2012/03/19,10.7,B
1,2012/03/20,10.3,B
1,2012/03/21,10.1,B
1,2012/03/22,9.97,B
1,2012/03/23,9.96,B
1,2012/03/24,10.1,B
1,2012/03/25,10.4,B
1,2012/03/26,10.8,B
1,2012/03/27,11.2,B
1,2012/03/28,11.3,B
1,2012/03/29,11.2,B
1,2012/03/30,11.1,B
1,2012/03/31,10.9,B
1,2012/04/01,10.7,B
1,2012/04/02,10.6,B
1,2012/04/03,10.7,B
1,2012/04/04,11.6,B
1,2012/04/05,11.2,B
1,2012/04/06,10.7,B
1,2012/04/07,10.2,B
1,2012/04/08,10.5,B
1,2012/04/09,10.6,B
1,2012/04/10,11.3,B
1,2012/04/11,12.4,B
1,2012/04/12,13.2,B
1,2012/04/13,15.1,B
1,2012/04/14,14.4,B
1,2012/04/15,13.9,B
1,2012/04/16,14.3,
1,2012/04/17,14.7,
1,2012/04/18,15.5,
1,2012/04/19,16.0,
1,2012/04/20,17.3,
1,2012/04/21,17.6,
1,2012/04/22,18.9,
1,2012/04/23,23.1,
1,2012/04/24,40.5,
1,2012/04/25,61.6,
1,2012/04/26,70.3,
1,2012/04/27,82.6,
1,2012/04/28,81.4,
1,2012/04/29,76.6,
1,2012/04/30,72.9,
1,2012/05/01,66.5,
1,2012/05/02,64.2,
1,2012/05/03,62.2,
1,2012/05/04,58.4,
1,2012/05/05,55.8,
1,2012/05/06,53.1,
1,2012/05/07,52.7,
1,2012/05/08,57.2,
1,2012/05/09,74.1,
1,2012/05/10,74.5,
1,2012/05/11,65.7,
1,2012/05/12,60.7,
1,2012/05/13,61.5,
1,2012/05/14,76.3,
1,2012/05/15,95.5,
1,2012/05/16,134.0,
1,2012/05/17,149.0,
1,2012/05/18,126.0,
1,2012/05/19,105.0,
1,2012/05/20,93.6,
1,2012/05/21,90.4,
1,2012/05/22,104.0,
1,2012/05/23,128.0,
1,2012/05/24,121.0,
1,2012/05/25,111.0,
1,2012/05/26,106.0,
1,2012/05/27,118.0,
1,2012/05/28,143.0,
1,2012/05/29,173.0,
1,2012/05/30,174.0,
1,2012/05/31,154.0,
1,2012/06/01,160.0,
1,2012/06/02,179.0,
1,2012/06/03,204.0,
1,2012/06/04,185.0,
1,2012/06/05,207.0,
1,2012/06/06,476.0,
1,2012/06/07,659.0,
1,2012/06/08,430.0,
1,2012/06/09,380.0,
1,2012/06/10,338.0,
1,2012/06/11,300.0,
1,2012/06/12,329.0,
1,2012/06/13,354.0,
1,2012/06/14,379.0,
1,2012/06/15,345.0,
1,2012/06/16,307.0,
1,2012/06/17,391.0,
1,2012/06/18,436.0,
1,2012/06/19,386.0,
1,2012/06/20,363.0,
1,2012/06/21,348.0,
1,2012/06/22,374.0,
1,2012/06/23,466.0,
1,2012/06/24,611.0,
1,2012/06/25,544.0,
1,2012/06/26,444.0,
1,2012/06/27,386.0,
1,2012/06/28,328.0,
1,2012/06/29,322.0,
1,2012/06/30,344.0,
1,2012/07/01,379.0,
1,2012/07/02,402.0,
1,2012/07/03,394.0,
1,2012/07/04,402.0,
1,2012/07/05,341.0,
1,2012/07/06,299.0,
