LOCAL_DATE2,COOLING_DEGREE_DAYS2,HEATING_DEGREE_DAYS2,TOTAL_PRECIPITATION2,TOTAL_RAIN2,TOTAL_SNOW2,SNOW_ON_GROUND2,MAX_TEMPERATURE2,MEAN_TEMPERATURE2,MIN_TEMPERATURE2
11/1/1975,,,,,,,,,
11/2/1975,,,,,,,,,
11/3/1975,,,,,,,,,
11/4/1975,,,,,,,,,
11/5/1975,,,,,,,,,
11/6/1975,,,,,,,,,
11/7/1975,,,,,,,,,
11/8/1975,,,,,,,,,
11/9/1975,,,,,,,,,
11/10/1975,,,,,,,,,
11/11/1975,,,,,,,,,
11/12/1975,,,,,,,,,
11/13/1975,,,,,,,,,
11/14/1975,,,0,0,0,,8.9,,
11/15/1975,0,13.3,0,0,0,,8.3,4.7,1.1
11/16/1975,0,17.2,0,0,0,,3.3,0.8,-1.7
11/17/1975,0,19.1,0,0,0,,2.2,-1.1,-4.4
11/18/1975,0,25,0,0,0,,-1.1,-7,-12.8
11/19/1975,0,22.5,0,0,0,,-0.6,-4.5,-8.3
11/20/1975,0,25.3,0,0,0,,-3.9,-7.3,-10.6
11/21/1975,0,25.8,2.5,0,2.5,,-3.9,-7.8,-11.7
11/22/1975,0,22.7,4.3,0,4.3,,-2.2,-4.7,-7.2
11/23/1975,0,24.4,5.8,0,5.8,,-3.9,-6.4,-8.9
11/24/1975,0,25.8,0,0,0,,-1.7,-7.8,-13.9
11/25/1975,0,25.5,21.8,0,21.8,,-1.1,-7.5,-13.9
11/26/1975,0,22.7,0,0,0,,0,-4.7,-9.4
11/27/1975,0,30,0,0,0,,-6.7,-12,-17.2
11/28/1975,0,31.9,0.8,0,0.8,,-10.6,-13.9,-17.2
11/29/1975,0,35.5,1.5,0,1.5,,-13.9,-17.5,-21.1
11/30/1975,0,30.8,10.2,0,10.2,,-7.8,-12.8,-17.8
12/1/1975,0,28.6,4.1,0,4.1,,-6.1,-10.6,-15
12/2/1975,0,24.7,15.7,0,15.7,,-3.9,-6.7,-9.4
12/3/1975,0,30,2.8,0,2.8,,-10.6,-12,-13.3
12/4/1975,0,32.4,0.5,0,0.5,,-9.4,-14.4,-19.4
12/5/1975,0,28.6,0,0,0,,-1.7,-10.6,-19.4
12/6/1975,0,19.9,0,0,0,,0.6,-1.9,-4.4
12/7/1975,0,16.9,0,0,0,,3.3,1.1,-1.1
12/8/1975,0,14.1,0,0,0,,6.7,3.9,1.1
12/9/1975,0,18.8,0.5,0,0.5,,1.7,-0.8,-3.3
12/10/1975,0,28.6,0,0,0,,-7.8,-10.6,-13.3
12/11/1975,0,35.8,2.3,0,2.3,,-13.9,-17.8,-21.7
12/12/1975,0,34.4,0.5,0,0.5,,-12.2,-16.4,-20.6
12/13/1975,0,30,1.5,0,1.5,,-5.6,-12,-18.3
12/14/1975,0,28.3,0.8,0,0.8,,-2.2,-10.3,-18.3
12/15/1975,0,25.5,0,0,0,,-4.4,-7.5,-10.6
12/16/1975,0,29.7,1.8,0,1.8,,-5.6,-11.7,-17.8
12/17/1975,0,22.8,0,0,0,,1.1,-4.8,-10.6
12/18/1975,0,18.6,0,0,0,,2.8,-0.6,-3.9
12/19/1975,0,20.5,0,0,0,,0,-2.5,-5
12/20/1975,0,26.4,0,0,0,,-5.6,-8.4,-11.1
12/21/1975,0,23.9,0,0,0,,3.3,-5.9,-15
12/22/1975,0,21.1,0,0,0,,3.3,-3.1,-9.4
12/23/1975,0,19.2,3,0,3,,4.4,-1.2,-6.7
12/24/1975,0,16.6,0,0,0,,6.7,1.4,-3.9
12/25/1975,0,15.5,3.6,0,3.6,,3.9,2.5,1.1
12/26/1975,0,16,0,0,0,,8.3,2,-4.4
12/27/1975,0,16.3,2,0,2,,4.4,1.7,-1.1
12/28/1975,0,16,5.6,0,5.6,,5,2,-1.1
12/29/1975,0,14.6,1.5,1.5,0,,6.7,3.4,0
12/30/1975,0,20.3,0,0,0,,-0.6,-2.3,-3.9
12/31/1975,0,30.3,0,0,0,,-8.9,-12.3,-15.6
1/1/1976,0,27.5,2.3,0,2.3,,-5.6,-9.5,-13.3
1/2/1976,0,26.7,9.1,0,9.1,,-5.6,-8.7,-11.7
1/3/1976,0,23.6,3,0,3,,-2.2,-5.6,-8.9
1/4/1976,0,25.3,17.3,0,17.3,,-3.9,-7.3,-10.6
1/5/1976,0,35.5,4.3,0,4.3,,-16.7,-17.5,-18.3
1/6/1976,0,38.8,1,0,1,,-19.4,-20.8,-22.2
1/7/1976,0,37.2,7.6,0,7.6,,-16.7,-19.2,-21.7
1/8/1976,0,34.4,1.5,0,1.5,,-13.3,-16.4,-19.4
1/9/1976,0,26.4,1,0,1,,-1.1,-8.4,-15.6
1/10/1976,0,23.3,0,0,0,,0,-5.3,-10.6
1/11/1976,0,27.5,3,0,3,,-6.1,-9.5,-12.8
1/12/1976,0,28.3,0.3,0,0.3,,-7.8,-10.3,-12.8
1/13/1976,0,34.2,2.5,0,2.5,,-11.7,-16.2,-20.6
1/14/1976,0,30.8,3.8,0,3.8,,-5.6,-12.8,-20
1/15/1976,0,20,15.2,5.1,10.2,,5,-2,-8.9
1/16/1976,0,15.7,0,0,0,,7.8,2.3,-3.3
1/17/1976,0,12.2,0,0,0,,8.3,5.8,3.3
1/18/1976,0,18.6,0,0,0,,2.8,-0.6,-3.9
1/19/1976,0,17.1,0,0,0,,3.9,0.9,-2.2
1/20/1976,0,15.5,0,0,0,,5.6,2.5,-0.6
1/21/1976,0,17.4,1,1,0,,5,0.6,-3.9
1/22/1976,0,14.9,0.3,0,0.3,,6.1,3.1,0
1/23/1976,0,20.8,6.6,0,6.6,,1.7,-2.8,-7.2
1/24/1976,0,21.9,7.4,0,7.4,,-0.6,-3.9,-7.2
1/25/1976,0,26.7,11.4,0,11.4,,-0.6,-8.7,-16.7
1/26/1976,0,18.6,2,0,2,,5.6,-0.6,-6.7
1/27/1976,0,13.3,0,0,0,,8.3,4.7,1.1
1/28/1976,0,14.1,0,0,0,,9.4,3.9,-1.7
1/29/1976,0,17.4,0,0,0,,6.1,0.6,-5
1/30/1976,0,17.4,0,0,0,,5.6,0.6,-4.4
1/31/1976,0,15.5,0,0,0,,5.6,2.5,-0.6
2/1/1976,0,15.2,0,0,0,,5,2.8,0.6
2/2/1976,0,14.9,0,0,0,,8.3,3.1,-2.2
2/3/1976,0,21.9,0,0,0,,-1.1,-3.9,-6.7
2/4/1976,0,30.5,0,0,0,,-6.7,-12.5,-18.3
2/5/1976,0,29.2,0,0,0,,-5.6,-11.2,-16.7
2/6/1976,0,25.8,0,0,0,,1.1,-7.8,-16.7
2/7/1976,0,18.3,0,0,0,,6.1,-0.3,-6.7
2/8/1976,0,13.5,0.5,0,0.5,,7.8,4.5,1.1
2/9/1976,0,18.6,3.6,0,3.6,,1.7,-0.6,-2.8
2/10/1976,0,20,1.3,0,1.3,,1.7,-2,-5.6
2/11/1976,0,15.5,1.8,0,1.8,,4.4,2.5,0.6
2/12/1976,0,27.2,0,0,0,,-2.8,-9.2,-15.6
2/13/1976,0,26.6,15.2,0,15.2,,-3.9,-8.6,-13.3
2/14/1976,0,22.7,3,0,3,,-2.2,-4.7,-7.2
2/15/1976,0,21.6,5.3,0,5.3,,1.1,-3.6,-8.3
2/16/1976,0,17.7,4.6,3,1.5,,2.8,0.3,-2.2
2/17/1976,0,19.1,3.6,0,3.6,,1.7,-1.1,-3.9
2/18/1976,0,26.1,1,0,1,,-4.4,-8.1,-11.7
2/19/1976,0,22.2,0.3,0,0.3,,2.2,-4.2,-10.6
2/20/1976,0,21.6,0,0,0,,2.2,-3.6,-9.4
2/21/1976,0,14.1,0,0,0,,6.7,3.9,1.1
2/22/1976,0,14.4,1.5,0,1.5,,7.8,3.6,-0.6
2/23/1976,0,18.6,0.3,0,0.3,,3.9,-0.6,-5
2/24/1976,0,22.5,0.3,0,0.3,,1.7,-4.5,-10.6
2/25/1976,0,21.3,4.1,0,4.1,,2.8,-3.3,-9.4
2/26/1976,0,26.1,0,0,0,,-6.1,-8.1,-10
2/27/1976,0,33.3,0.8,0,0.8,,-12.8,-15.3,-17.8
2/28/1976,0,33,0.3,0,0.3,,-12.2,-15,-17.8
2/29/1976,0,36.1,0,0,0,,-9.4,-18.1,-26.7
